"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"3","办公本v2.4.0","0","ai对话上传文件模块用例","16","0","","0"
"1","办公本v2.4.0","0","ai历史对话模块用例","6","0","","0"
"0","办公本v2.4.0","0","笔记新建文件夹模块用例","7","0","","0"
"2","办公本v2.4.0","0","文件批量处理模块用例","3","0","","0"
"2","办公本v2.4.0","0","笔记模板模块用例","8","0","","0"
"0","办公本v2.4.0","0","笔记回收站恢复模块用例","6","0","","0"
"2","办公本v2.4.0","0","阅读模块用例","7","0","","0"
"0","办公本v2.4.0","0","ai对话模块用例","7","0","","0"
"2","办公本v2.4.0","0","笔记更多工具模块用例","15","0","","0"
"0","办公本v2.4.0","0","文件传输模块用例","5","0","","0"
"1","办公本v2.4.0","0","代办重点关注模块用例","3","0","","0"
"8","办公本v2.4.0","0","代办模块用例","10","0","","0"
"0","办公本v2.4.0","0","笔记初始化模块用例","2","0","","0"
"0","办公本v2.4.0","0","用户数据权限模块用例","3","0","","0"
"0","办公本v2.4.0","0","deepseek对话模块用例","3","0","","0"
"0","办公本v2.4.0","0","回收站模块用例","6","0","","0"
"0","办公本v2.4.0","0","分屏笔记模块用例","5","0","","0"
"0","办公本v2.4.0","0","笔记标签模块用例","8","0","","0"
"0","办公本v2.4.0","0","笔记录音模块用例","2","0","","0"
"0","办公本v2.4.0","0","移动文件模块用例","4","0","","0"
"1","办公本v2.4.0","0","笔记页数模块用例","7","0","","0"
"0","办公本v2.4.0","0","分享模块用例","2","0","","0"
"0","办公本v2.4.0","0","笔记导入文件模块用例","2","0","","0"
"1","办公本v2.4.0","0","搜索模块用例","1","0","","0"
"0","办公本v2.4.0","0","登录模块用例","4","0","","0"
"1","办公本v2.4.0","0","笔记列表样式模块用例","3","0","","0"
"0","办公本v2.4.0","0","笔记详情模块用例","1","0","","0"
"0","办公本v2.4.0","0","壁纸模块用例","1","0","","0"
"0","办公本v2.4.0","0","笔记富文本模块用例","1","0","","0"
